,time,|dip|
0,0.0,15.38623392382842
1,1e-15,15.344507254324297
2,2e-15,15.335977739427989
3,3.0000000000000002e-15,15.380009574899413
4,4e-15,15.47511684432301
5,5.000000000000001e-15,15.605228551832749
6,6.0000000000000005e-15,15.737549810079246
7,7e-15,15.833706968469263
8,8e-15,15.868689817560677
9,9.000000000000001e-15,15.835412561430108
10,1.0000000000000002e-14,15.746621257552432
11,1.1e-14,15.62792916414964
12,1.2000000000000001e-14,15.512080740511236
13,1.3000000000000001e-14,15.426525413685846
14,1.4e-14,15.386864666787377
15,1.5000000000000002e-14,15.388235910000509
16,1.6e-14,15.414690930986795
17,1.7e-14,15.443397173694184
18,1.8000000000000002e-14,15.454151278678228
19,1.9e-14,15.43617942901985
20,2.0000000000000003e-14,15.393385101922748
21,2.1000000000000002e-14,15.343083095915969
22,2.2e-14,15.310788514254147
23,2.3000000000000003e-14,15.315832950431416
24,2.4000000000000002e-14,15.36799280036754
25,2.5e-14,15.455504110765393
26,2.6000000000000003e-14,15.55639918293664
27,2.7000000000000002e-14,15.643473390068465
28,2.8e-14,15.689531872155928
29,2.9e-14,15.68131909386348
30,3.0000000000000005e-14,15.620759091789507
31,3.1e-14,15.534292157311269
32,3.2e-14,15.44874736530251
33,3.3000000000000005e-14,15.391274430891508
34,3.4e-14,15.380406364399814
35,3.5e-14,15.41676165932596
36,3.6000000000000004e-14,15.482593507717432
37,3.7e-14,15.55479097951379
38,3.8e-14,15.60877157858299
39,3.9000000000000004e-14,15.630022658088238
40,4.0000000000000006e-14,15.622729952246331
41,4.1e-14,15.600205403518007
42,4.2000000000000004e-14,15.58596467255997
43,4.3000000000000006e-14,15.598165684188738
44,4.4e-14,15.648184605601632
45,4.5000000000000004e-14,15.728925261455736
46,4.6000000000000006e-14,15.820737266054158
47,4.7e-14,15.89220246712708
48,4.8000000000000004e-14,15.915052844813076
49,4.9000000000000006e-14,15.87151192176829
50,5e-14,15.764643772940197
51,5.1000000000000004e-14,15.613803076956378
